Firm ID,Year,Default,WC/TA,RE/TA,EBIT/TA,ME/TL,S/TA
3723,2012,1,0.24,0.06,0.03,1.83,0.27
1252,2014,0,0.42,-0.06,0.0,1.28,0.18
2188,2020,0,0.34,0.28,0.04,0.27,0.26
514,2014,0,0.09,0.2,0.05,0.94,0.14
3489,2014,0,0.19,-0.11,0.01,0.85,0.08
834,2015,0,0.06,0.06,0.03,1.08,0.2
1422,2014,0,0.48,0.01,0.04,1.14,0.24
2497,2017,0,0.36,0.07,0.02,0.32,0.24
583,2013,0,0.37,0.21,0.05,0.51,0.11
2313,2013,0,0.46,0.12,0.04,0.28,0.31
2595,2017,0,0.48,0.32,0.01,0.31,0.21
765,2012,0,0.28,-0.04,0.02,0.17,0.2
184,2019,0,0.31,0.25,0.0,0.74,0.34
3697,2018,1,0.12,-0.01,0.03,2.29,0.16
3359,2013,0,0.42,0.2,0.01,0.34,0.21
953,2020,0,-0.02,0.09,0.03,0.48,0.26
1139,2019,0,0.17,0.06,0.03,0.27,0.17
290,2020,0,0.36,-0.04,0.04,0.98,0.33
791,2012,0,0.19,0.22,0.04,1.24,0.09
1580,2013,0,0.16,-0.04,0.05,0.8,0.22
2553,2020,0,0.55,-0.08,0.02,0.57,0.17
1347,2016,0,0.4,0.22,0.05,0.97,0.2
2004,2013,0,0.5,0.21,0.05,0.36,0.19
2118,2018,0,0.15,-0.03,0.03,0.85,0.26
3711,2018,1,0.36,-0.06,0.03,0.97,0.15
3206,2016,0,0.17,0.3,0.02,0.36,0.09
3785,2016,1,0.21,0.04,0.03,0.46,0.2
2690,2013,0,0.01,0.29,0.04,0.1,0.17
2804,2019,0,0.2,-0.12,0.03,0.8,0.09
2402,2013,0,0.55,0.21,0.0,0.46,0.12
2368,2013,0,0.52,0.07,0.02,0.6,0.19
3731,2014,1,0.26,-0.01,0.04,2.41,0.28
1751,2018,0,0.01,0.22,0.05,1.04,0.21
1000,2012,0,0.12,0.24,0.04,1.03,0.3
3044,2018,0,0.37,0.31,0.04,1.13,0.13
1206,2016,0,0.21,-0.04,0.02,0.51,0.25
558,2016,0,0.1,0.06,0.0,1.19,0.15
1161,2017,0,0.5,0.25,0.04,0.25,0.13
1604,2015,0,0.08,0.29,0.05,1.26,0.24
772,2013,0,-0.1,0.2,0.04,0.35,0.09
73,2014,0,0.12,0.22,0.0,0.27,0.2
1701,2013,0,0.32,0.08,0.01,0.34,0.17
2808,2012,0,0.1,-0.06,0.05,0.66,0.29
410,2013,0,-0.07,0.16,0.0,0.2,0.09
362,2020,0,0.31,0.18,0.01,1.12,0.08
2439,2019,0,-0.04,0.09,0.03,1.05,0.17
156,2014,0,0.14,0.2,0.05,1.01,0.31
3522,2018,0,0.13,0.17,0.01,0.77,0.09
1995,2019,0,0.39,0.21,0.0,0.91,0.15
786,2017,0,0.0,0.1,0.02,0.41,0.32
294,2012,0,0.06,0.04,0.03,1.23,0.24
261,2014,0,0.25,-0.08,0.04,1.19,0.2
1133,2012,0,0.32,0.15,0.01,1.07,0.23
3362,2019,0,0.15,0.17,0.04,1.06,0.23
3945,2018,1,0.12,-0.07,0.04,0.51,0.2
3139,2012,0,-0.07,-0.06,0.0,0.21,0.11
30,2012,0,0.39,0.11,0.01,0.53,0.26
1809,2012,0,0.21,0.1,0.01,0.56,0.14
1277,2019,0,0.51,-0.04,0.03,1.13,0.14
988,2013,0,0.15,-0.12,0.0,0.25,0.19
3639,2013,1,0.29,0.05,0.03,2.34,0.21
2848,2012,0,0.54,-0.06,0.02,1.11,0.2
563,2012,0,0.28,0.02,0.03,1.19,0.18
2556,2014,0,-0.02,0.09,0.05,0.86,0.13
3897,2017,1,0.24,-0.02,0.03,0.55,0.17
2126,2018,0,0.24,0.21,0.0,0.63,0.18
1806,2017,0,0.25,-0.04,0.04,0.97,0.21
734,2012,0,-0.08,0.15,0.03,0.18,0.24
1957,2012,0,-0.1,0.14,0.0,0.42,0.13
2744,2013,0,0.2,0.12,0.01,0.76,0.25
1496,2019,0,0.36,0.14,0.01,1.04,0.09
2698,2018,0,0.4,0.13,0.0,0.46,0.27
2343,2015,0,0.29,0.16,0.0,0.8,0.3
3840,2012,1,0.33,0.06,0.03,1.28,0.16
1713,2016,0,-0.06,0.15,0.0,0.57,0.15
2435,2014,0,0.14,-0.06,0.05,0.37,0.32
1113,2017,0,0.48,0.05,0.04,0.59,0.25
3854,2014,1,0.23,0.05,0.04,1.52,0.15
2100,2012,0,0.29,0.07,0.04,0.92,0.22
289,2017,0,0.16,0.2,0.03,0.48,0.26
1729,2017,0,0.53,0.17,0.02,0.36,0.1
2084,2013,0,-0.11,0.19,0.03,0.53,0.09
1040,2012,0,0.01,0.22,0.03,0.58,0.3
255,2016,0,0.29,0.11,0.03,0.51,0.1
2070,2018,0,0.15,0.2,0.05,0.49,0.23
3662,2018,1,0.33,0.02,0.04,0.97,0.27
2208,2017,0,0.11,0.08,0.03,0.09,0.11
1896,2018,0,-0.08,0.06,0.05,1.04,0.19
282,2020,0,0.33,0.31,0.04,0.91,0.1
709,2020,0,0.37,0.15,0.01,0.8,0.17
1928,2018,0,0.27,0.24,0.05,0.57,0.3
724,2013,0,-0.03,0.32,0.03,0.09,0.22
2971,2016,0,0.25,0.02,0.0,0.3,0.26
2099,2020,0,0.4,0.3,0.01,0.58,0.19
1374,2013,0,-0.02,0.17,0.05,0.13,0.29
3265,2015,0,0.44,0.17,0.04,0.44,0.2
